RefNo,Date,Year,Month,Day,WeekDay,KWH
1,10/28/2020,2020,10,28,4,1140.169
2,10/29/2020,2020,10,29,5,2038.338
3,10/30/2020,2020,10,30,6,1484.086
4,10/31/2020,2020,10,31,7,1429.289
5,11/1/2020,2020,11,1,1,1550.194
6,11/2/2020,2020,11,2,2,1558.963
7,11/3/2020,2020,11,3,3,1578.772
8,11/4/2020,2020,11,4,4,1635.665
9,11/5/2020,2020,11,5,5,1518.898
10,11/6/2020,2020,11,6,6,1317.437
11,11/7/2020,2020,11,7,7,1370.168
12,11/8/2020,2020,11,8,1,1484.099
13,11/9/2020,2020,11,9,2,2019.643
14,11/10/2020,2020,11,10,3,1945.229
15,11/11/2020,2020,11,11,4,1910.767
16,11/12/2020,2020,11,12,5,1961.486
17,11/13/2020,2020,11,13,6,1979.378
18,11/14/2020,2020,11,14,7,1949.020
19,11/15/2020,2020,11,15,1,1957.821
20,11/16/2020,2020,11,16,2,1916.508
21,11/17/2020,2020,11,17,3,2040.642
22,11/18/2020,2020,11,18,4,2128.254
23,11/19/2020,2020,11,19,5,1968.333
24,11/20/2020,2020,11,20,6,1950.214
25,11/21/2020,2020,11,21,7,1947.290
26,11/22/2020,2020,11,22,1,1914.302
27,11/23/2020,2020,11,23,2,1857.374
28,11/24/2020,2020,11,24,3,1986.561
29,11/25/2020,2020,11,25,4,1919.878
30,11/26/2020,2020,11,26,5,2083.712
31,11/27/2020,2020,11,27,6,2003.522
32,11/28/2020,2020,11,28,7,2115.764
33,11/29/2020,2020,11,29,1,1961.445
34,11/30/2020,2020,11,30,2,2188.606
35,12/1/2020,2020,12,1,3,2059.158
36,12/2/2020,2020,12,2,4,1893.380
37,12/3/2020,2020,12,3,5,1983.885
38,12/4/2020,2020,12,4,6,2058.888
39,12/5/2020,2020,12,5,7,2037.363
40,12/6/2020,2020,12,6,1,2136.127
41,12/7/2020,2020,12,7,2,2140.932
42,12/8/2020,2020,12,8,3,2065.842
43,12/9/2020,2020,12,9,4,2140.655
44,12/10/2020,2020,12,10,5,1974.286
45,12/11/2020,2020,12,11,6,2018.503
46,12/12/2020,2020,12,12,7,2005.151
47,12/13/2020,2020,12,13,1,2041.601
48,12/14/2020,2020,12,14,2,1940.014
49,12/15/2020,2020,12,15,3,2012.921
50,12/16/2020,2020,12,16,4,2009.313
51,12/17/2020,2020,12,17,5,1998.923
52,12/18/2020,2020,12,18,6,1986.985
53,12/19/2020,2020,12,19,7,2032.719
54,12/20/2020,2020,12,20,1,2021.552
55,12/21/2020,2020,12,21,2,1908.529
56,12/22/2020,2020,12,22,3,1883.172
57,12/23/2020,2020,12,23,4,1984.466
58,12/24/2020,2020,12,24,5,2096.209
59,12/25/2020,2020,12,25,6,2095.618
60,12/26/2020,2020,12,26,7,1978.009
61,12/27/2020,2020,12,27,1,1928.489
62,12/28/2020,2020,12,28,2,2028.520
63,12/29/2020,2020,12,29,3,1917.858
64,12/30/2020,2020,12,30,4,2110.040
65,12/31/2020,2020,12,31,5,2079.347
66,1/1/2021,2021,1,1,6,1902.429
67,1/2/2021,2021,1,2,7,1993.140
68,1/3/2021,2021,1,3,1,1920.683
69,1/4/2021,2021,1,4,2,2011.721
70,1/5/2021,2021,1,5,3,1923.636
71,1/6/2021,2021,1,6,4,1987.700
72,1/7/2021,2021,1,7,5,2044.025
73,1/8/2021,2021,1,8,6,1990.148
74,1/9/2021,2021,1,9,7,1818.395
75,1/10/2021,2021,1,10,1,1837.396
76,1/11/2021,2021,1,11,2,1874.595
77,1/12/2021,2021,1,12,3,1943.672
78,1/13/2021,2021,1,13,4,1860.492
79,1/14/2021,2021,1,14,5,1983.707
80,1/15/2021,2021,1,15,6,1919.205
81,1/16/2021,2021,1,16,7,1979.249
82,1/17/2021,2021,1,17,1,2025.702
83,1/18/2021,2021,1,18,2,1936.665
84,1/19/2021,2021,1,19,3,1951.663
85,1/20/2021,2021,1,20,4,2046.447
86,1/21/2021,2021,1,21,5,2114.213
87,1/22/2021,2021,1,22,6,2094.902
88,1/23/2021,2021,1,23,7,2144.904
89,1/24/2021,2021,1,24,1,1992.712
90,1/25/2021,2021,1,25,2,2032.222
91,1/26/2021,2021,1,26,3,1922.001
92,1/27/2021,2021,1,27,4,1954.156
93,1/28/2021,2021,1,28,5,2076.016
94,1/29/2021,2021,1,29,6,1970.341
95,1/30/2021,2021,1,30,7,1966.155
96,1/31/2021,2021,1,31,1,1943.032
97,2/1/2021,2021,2,1,2,2005.439
98,2/2/2021,2021,2,2,3,2031.063
99,2/3/2021,2021,2,3,4,2040.665
100,2/4/2021,2021,2,4,5,1988.584
101,2/5/2021,2021,2,5,6,2128.706
102,2/6/2021,2021,2,6,7,2001.220
103,2/7/2021,2021,2,7,1,1999.738
104,2/8/2021,2021,2,8,2,2072.484
105,2/9/2021,2021,2,9,3,2041.912
106,2/10/2021,2021,2,10,4,1975.400
107,2/11/2021,2021,2,11,5,1954.614
108,2/12/2021,2021,2,12,6,2004.804
109,2/13/2021,2021,2,13,7,2041.067
110,2/14/2021,2021,2,14,1,2076.401
111,2/15/2021,2021,2,15,2,2141.776
112,2/16/2021,2021,2,16,3,2088.735
113,2/17/2021,2021,2,17,4,2042.024
114,2/18/2021,2021,2,18,5,2057.894
115,2/19/2021,2021,2,19,6,2060.779
116,2/20/2021,2021,2,20,7,2136.550
117,2/21/2021,2021,2,21,1,2107.867
118,2/22/2021,2021,2,22,2,2054.913
119,2/23/2021,2021,2,23,3,1991.846
120,2/24/2021,2021,2,24,4,2118.636
121,2/25/2021,2021,2,25,5,2217.186
122,2/26/2021,2021,2,26,6,2008.546
123,2/28/2021,2021,2,28,1,2084.328
124,2/27/2021,2021,2,27,7,2050.439
125,3/1/2021,2021,3,1,2,2078.235
126,3/2/2021,2021,3,2,3,2060.563
127,3/3/2021,2021,3,3,4,2037.457
128,3/4/2021,2021,3,4,5,2050.402
129,3/5/2021,2021,3,5,6,1992.449
130,3/6/2021,2021,3,6,7,1994.071
131,3/7/2021,2021,3,7,1,2075.555
132,3/8/2021,2021,3,8,2,2028.544
133,3/9/2021,2021,3,9,3,2091.928
134,3/10/2021,2021,3,10,4,2091.461
135,3/11/2021,2021,3,11,5,1960.059
136,3/12/2021,2021,3,12,6,2070.653
137,3/13/2021,2021,3,13,7,2067.537
138,3/14/2021,2021,3,14,1,995.230
139,3/15/2021,2021,3,15,2,2027.001
140,3/16/2021,2021,3,16,3,3245.618
141,3/17/2021,2021,3,17,4,2155.638
142,3/18/2021,2021,3,18,5,2054.394
143,3/19/2021,2021,3,19,6,1938.855
144,3/20/2021,2021,3,20,7,2011.775
145,3/21/2021,2021,3,21,1,2064.132
146,3/22/2021,2021,3,22,2,1140.511
147,3/23/2021,2021,3,23,3,2038.765
148,3/24/2021,2021,3,24,4,2009.513
149,3/25/2021,2021,3,25,5,2009.756
150,3/26/2021,2021,3,26,6,2067.941
151,3/27/2021,2021,3,27,7,2148.549
