RefNo,Date,Year,Month,Day,Hour,WeekDay, KWH 
1,10/28/2020,2020,10,28,9,4, 38.389 
2,10/28/2020,2020,10,28,10,4, 106.060 
3,10/28/2020,2020,10,28,11,4, 103.889 
4,10/28/2020,2020,10,28,12,4, 105.579 
5,10/28/2020,2020,10,28,13,4, 106.672 
6,10/28/2020,2020,10,28,14,4, 109.076 
7,10/28/2020,2020,10,28,15,4, 98.896 
8,10/28/2020,2020,10,28,16,4, 92.031 
9,10/28/2020,2020,10,28,17,4, 65.872 
10,10/28/2020,2020,10,28,18,4, 59.697 
11,10/28/2020,2020,10,28,19,4, 56.230 
12,10/28/2020,2020,10,28,20,4, 55.611 
13,10/28/2020,2020,10,28,21,4, 48.629 
14,10/28/2020,2020,10,28,22,4, 46.879 
15,10/28/2020,2020,10,28,23,4, 46.659 
16,10/29/2020,2020,10,29,0,5, 45.787 
17,10/29/2020,2020,10,29,1,5, 71.321 
18,10/29/2020,2020,10,29,2,5, 86.154 
19,10/29/2020,2020,10,29,3,5, 117.133 
20,10/29/2020,2020,10,29,4,5, 114.233 
21,10/29/2020,2020,10,29,5,5, 109.477 
22,10/29/2020,2020,10,29,6,5, 108.388 
23,10/29/2020,2020,10,29,7,5, 106.950 
24,10/29/2020,2020,10,29,8,5, 116.353 
25,10/29/2020,2020,10,29,9,5, 107.689 
26,10/29/2020,2020,10,29,10,5, 107.954 
27,10/29/2020,2020,10,29,11,5, 105.761 
28,10/29/2020,2020,10,29,12,5, 110.951 
29,10/29/2020,2020,10,29,13,5, 112.807 
30,10/29/2020,2020,10,29,14,5, 101.379 
31,10/29/2020,2020,10,29,15,5, 93.132 
32,10/29/2020,2020,10,29,16,5, 82.122 
33,10/29/2020,2020,10,29,17,5, 59.880 
34,10/29/2020,2020,10,29,18,5, 47.566 
35,10/29/2020,2020,10,29,19,5, 45.954 
36,10/29/2020,2020,10,29,20,5, 47.716 
37,10/29/2020,2020,10,29,21,5, 47.674 
38,10/29/2020,2020,10,29,22,5, 46.102 
39,10/29/2020,2020,10,29,23,5, 45.855 
40,10/30/2020,2020,10,30,0,6, 44.878 
41,10/30/2020,2020,10,30,1,6, 45.693 
42,10/30/2020,2020,10,30,2,6, 61.307 
43,10/30/2020,2020,10,30,3,6, 80.641 
44,10/30/2020,2020,10,30,4,6, 88.577 
45,10/30/2020,2020,10,30,5,6, 91.059 
46,10/30/2020,2020,10,30,6,6, 75.089 
47,10/30/2020,2020,10,30,7,6, 72.271 
48,10/30/2020,2020,10,30,8,6, 74.438 
49,10/30/2020,2020,10,30,9,6, 74.278 
50,10/30/2020,2020,10,30,10,6, 71.507 
51,10/30/2020,2020,10,30,11,6, 68.391 
52,10/30/2020,2020,10,30,12,6, 70.826 
53,10/30/2020,2020,10,30,13,6, 63.876 
54,10/30/2020,2020,10,30,14,6, 60.431 
55,10/30/2020,2020,10,30,15,6, 53.935 
56,10/30/2020,2020,10,30,16,6, 48.663 
57,10/30/2020,2020,10,30,17,6, 51.051 
58,10/30/2020,2020,10,30,18,6, 48.201 
59,10/30/2020,2020,10,30,19,6, 47.773 
60,10/30/2020,2020,10,30,20,6, 48.401 
61,10/30/2020,2020,10,30,21,6, 48.732 
62,10/30/2020,2020,10,30,22,6, 46.990 
63,10/30/2020,2020,10,30,23,6, 47.078 
64,10/31/2020,2020,10,31,0,7, 46.604 
65,10/31/2020,2020,10,31,1,7, 47.537 
66,10/31/2020,2020,10,31,2,7, 66.467 
67,10/31/2020,2020,10,31,3,7, 87.246 
68,10/31/2020,2020,10,31,4,7, 79.730 
69,10/31/2020,2020,10,31,5,7, 78.324 
70,10/31/2020,2020,10,31,6,7, 73.637 
71,10/31/2020,2020,10,31,7,7, 76.919 
72,10/31/2020,2020,10,31,8,7, 78.535 
73,10/31/2020,2020,10,31,9,7, 74.314 
74,10/31/2020,2020,10,31,10,7, 73.033 
75,10/31/2020,2020,10,31,11,7, 68.080 
76,10/31/2020,2020,10,31,12,7, 64.528 
77,10/31/2020,2020,10,31,13,7, 53.814 
78,10/31/2020,2020,10,31,14,7, 48.118 
79,10/31/2020,2020,10,31,15,7, 47.431 
80,10/31/2020,2020,10,31,16,7, 46.084 
81,10/31/2020,2020,10,31,17,7, 47.515 
82,10/31/2020,2020,10,31,18,7, 45.145 
83,10/31/2020,2020,10,31,19,7, 46.279 
84,10/31/2020,2020,10,31,20,7, 45.591 
85,10/31/2020,2020,10,31,21,7, 45.878 
86,10/31/2020,2020,10,31,22,7, 44.267 
87,10/31/2020,2020,10,31,23,7, 44.213 
88,11/1/2020,2020,11,1,0,1, 43.067 
89,11/1/2020,2020,11,1,1,1, 44.596 
90,11/1/2020,2020,11,1,2,1, 65.109 
91,11/1/2020,2020,11,1,3,1, 67.753 
92,11/1/2020,2020,11,1,4,1, 81.928 
93,11/1/2020,2020,11,1,5,1, 91.300 
94,11/1/2020,2020,11,1,6,1, 102.566 
95,11/1/2020,2020,11,1,7,1, 83.846 
96,11/1/2020,2020,11,1,8,1, 87.455 
97,11/1/2020,2020,11,1,9,1, 86.824 
98,11/1/2020,2020,11,1,10,1, 129.576 
99,11/1/2020,2020,11,1,11,1, 151.995 
100,11/1/2020,2020,11,1,12,1, 147.813 
101,11/1/2020,2020,11,1,13,1, 154.412 
102,11/1/2020,2020,11,1,14,1, 161.131 
103,11/1/2020,2020,11,1,15,1, 162.585 
104,11/1/2020,2020,11,1,16,1, 162.238 
105,11/1/2020,2020,11,1,17,1, 158.427 
106,11/1/2020,2020,11,1,18,1, 154.824 
107,11/1/2020,2020,11,1,19,1, 151.918 
108,11/1/2020,2020,11,1,20,1, 95.955 
109,11/1/2020,2020,11,1,21,1, 124.040 
110,11/1/2020,2020,11,1,22,1, 138.970 
111,11/1/2020,2020,11,1,23,1, 152.212 
112,11/2/2020,2020,11,2,0,2, 47.948 
113,11/2/2020,2020,11,2,1,2, 49.457 
114,11/2/2020,2020,11,2,2,2, 69.451 
115,11/2/2020,2020,11,2,3,2, 88.530 
116,11/2/2020,2020,11,2,4,2, 88.742 
117,11/2/2020,2020,11,2,5,2, 80.007 
118,11/2/2020,2020,11,2,6,2, 79.008 
119,11/2/2020,2020,11,2,7,2, 77.565 
120,11/2/2020,2020,11,2,8,2, 83.824 
121,11/2/2020,2020,11,2,9,2, 86.151 
122,11/2/2020,2020,11,2,10,2, 129.565 
123,11/2/2020,2020,11,2,11,2, 160.018 
124,11/2/2020,2020,11,2,12,2, 160.162 
125,11/2/2020,2020,11,2,13,2, 185.841 
126,11/2/2020,2020,11,2,14,2, 178.033 
127,11/2/2020,2020,11,2,15,2, 153.851 
128,11/2/2020,2020,11,2,16,2, 149.171 
129,11/2/2020,2020,11,2,17,2, 157.808 
130,11/2/2020,2020,11,2,18,2, 157.281 
131,11/2/2020,2020,11,2,19,2, 151.585 
132,11/2/2020,2020,11,2,20,2, 90.184 
133,11/2/2020,2020,11,2,21,2, 126.781 
134,11/2/2020,2020,11,2,22,2, 124.068 
135,11/2/2020,2020,11,2,23,2, 141.279 
136,11/3/2020,2020,11,3,0,3, 43.488 
